age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
76,private,masters,marriedcivspouse,execmanagerial,husband,white,Male,40,unitedstates,>50K
44,private,bachelors,marriedcivspouse,execmanagerial,husband,white,Male,60,unitedstates,>50K
47,selfempnotinc,masters,nevermarried,profspecialty,notinfamily,white,Female,50,unitedstates,<=50K
20,private,somecollege,nevermarried,techsupport,ownchild,white,Female,40,unitedstates,<=50K
38,private,hsgrad,nevermarried,craftrepair,notinfamily,white,Male,40,unitedstates,<=50K
32,selfempinc,hsgrad,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,>50K
30,private,11th,nevermarried,handlerscleaners,ownchild,white,Male,40,unitedstates,<=50K
31,localgov,hsgrad,nevermarried,admclerical,notinfamily,white,Female,40,unitedstates,<=50K
42,private,hsgrad,marriedcivspouse,handlerscleaners,husband,white,Male,40,unitedstates,<=50K
38,private,bachelors,nevermarried,sales,otherrelative,white,Male,40,unitedstates,<=50K
38,private,profschool,marriedcivspouse,profspecialty,husband,white,Male,40,unitedstates,>50K
38,selfempnotinc,hsgrad,marriedcivspouse,otherservice,husband,white,Male,50,canada,>50K
28,private,somecollege,marriedcivspouse,sales,wife,white,Female,25,unitedstates,<=50K
36,private,hsgrad,nevermarried,machineopinspct,ownchild,white,Female,40,unitedstates,<=50K
56,selfempinc,somecollege,marriedcivspouse,sales,husband,white,Male,50,unitedstates,<=50K
49,localgov,assocvoc,marriedcivspouse,craftrepair,husband,black,Male,40,unitedstates,>50K
55,private,somecollege,marriedcivspouse,sales,husband,white,Male,56,unitedstates,<=50K
22,private,hsgrad,nevermarried,craftrepair,notinfamily,white,Male,41,unitedstates,<=50K
21,private,somecollege,nevermarried,otherservice,ownchild,white,Female,40,unitedstates,<=50K
30,private,bachelors,nevermarried,execmanagerial,ownchild,black,Male,40,germany,<=50K
19,private,somecollege,nevermarried,otherservice,ownchild,black,Male,35,unitedstates,<=50K
47,private,bachelors,marriedcivspouse,execmanagerial,wife,white,Female,40,unitedstates,>50K
20,private,somecollege,nevermarried,admclerical,ownchild,white,Female,28,unitedstates,<=50K
39,private,somecollege,divorced,craftrepair,notinfamily,white,Male,40,unitedstates,<=50K
24,private,hsgrad,nevermarried,otherservice,notinfamily,white,Female,40,unitedstates,<=50K
38,selfempnotinc,hsgrad,marriedcivspouse,craftrepair,husband,white,Male,35,unitedstates,<=50K
37,private,bachelors,marriedcivspouse,sales,husband,white,Male,50,unitedstates,<=50K
46,private,assocacdm,divorced,techsupport,notinfamily,black,Female,36,unitedstates,<=50K
38,federalgov,masters,marriedcivspouse,profspecialty,husband,white,Male,40,iran,>50K
43,selfempnotinc,hsgrad,marriedcivspouse,craftrepair,husband,white,Male,60,unitedstates,<=50K
27,private,assocvoc,marriedcivspouse,admclerical,wife,white,Female,35,unitedstates,<=50K
61,selfempinc,hsgrad,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,<=50K
27,private,somecollege,nevermarried,sales,ownchild,white,Female,40,unitedstates,<=50K
70,private,somecollege,nevermarried,techsupport,otherrelative,white,Male,40,unitedstates,<=50K
38,private,hsgrad,nevermarried,transportmoving,unmarried,black,Female,30,unitedstates,<=50K
22,private,somecollege,marriedcivspouse,otherservice,husband,white,Male,24,unitedstates,<=50K
38,private,hsgrad,widowed,otherservice,unmarried,white,Female,24,unitedstates,<=50K
64,private,11th,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,<=50K
47,localgov,somecollege,divorced,admclerical,unmarried,white,Female,38,mexico,<=50K
34,private,hsgrad,nevermarried,admclerical,notinfamily,white,Female,40,unitedstates,<=50K
21,private,hsgrad,nevermarried,craftrepair,ownchild,white,Male,35,unitedstates,<=50K
48,private,hsgrad,marriedcivspouse,craftrepair,husband,white,Male,46,unitedstates,<=50K
71,selfempnotinc,somecollege,separated,sales,unmarried,black,Male,2,unitedstates,<=50K
29,private,hsgrad,divorced,craftrepair,notinfamily,white,Male,60,unitedstates,<=50K
42,private,bachelors,separated,otherservice,otherrelative,black,Male,50,unitedstates,<=50K
25,private,hsgrad,nevermarried,otherservice,unmarried,white,Female,40,unitedstates,<=50K
44,selfempinc,masters,divorced,execmanagerial,unmarried,asianpacislander,Female,40,unitedstates,<=50K
28,private,hsgrad,nevermarried,execmanagerial,notinfamily,asianpacislander,Female,40,england,<=50K
36,private,somecollege,divorced,otherservice,unmarried,white,Female,40,mexico,<=50K
39,federalgov,assocacdm,nevermarried,execmanagerial,notinfamily,white,Male,42,unitedstates,<=50K
46,stategov,masters,widowed,protectiveserv,unmarried,white,Male,40,unitedstates,<=50K
66,localgov,assocvoc,widowed,profspecialty,notinfamily,white,Female,20,unitedstates,<=50K
38,stategov,hsgrad,marriedcivspouse,protectiveserv,husband,white,Male,40,unitedstates,<=50K
51,private,somecollege,marriedcivspouse,sales,husband,white,Male,40,unitedstates,>50K
27,private,bachelors,nevermarried,craftrepair,notinfamily,white,Male,50,unitedstates,<=50K
28,stategov,bachelors,marriedcivspouse,profspecialty,husband,white,Male,40,unitedstates,>50K
21,private,hsgrad,nevermarried,craftrepair,ownchild,black,Male,40,unitedstates,<=50K
34,private,hsgrad,nevermarried,handlerscleaners,notinfamily,black,Male,40,unitedstates,<=50K
38,private,bachelors,marriedcivspouse,profspecialty,husband,white,Male,65,unitedstates,<=50K
44,localgov,somecollege,marriedcivspouse,execmanagerial,husband,black,Male,38,unitedstates,>50K
43,private,somecollege,divorced,admclerical,notinfamily,white,Female,40,unitedstates,<=50K
30,private,somecollege,nevermarried,craftrepair,notinfamily,black,Male,45,unitedstates,<=50K
40,private,7th8th,marriedcivspouse,machineopinspct,husband,white,Male,40,mexico,>50K
37,federalgov,somecollege,marriedcivspouse,admclerical,husband,white,Male,42,unitedstates,>50K
38,selfempnotinc,bachelors,divorced,execmanagerial,notinfamily,white,Female,40,unitedstates,<=50K
38,private,masters,marriedcivspouse,profspecialty,wife,white,Female,50,unitedstates,<=50K
58,stategov,doctorate,marriedcivspouse,profspecialty,husband,white,Male,1,unitedstates,>50K
38,private,somecollege,divorced,machineopinspct,notinfamily,black,Female,28,unitedstates,<=50K
24,private,somecollege,marriedcivspouse,machineopinspct,husband,white,Male,40,unitedstates,<=50K
41,localgov,bachelors,marriedcivspouse,craftrepair,husband,black,Male,40,unitedstates,<=50K
47,private,somecollege,marriedcivspouse,techsupport,husband,white,Male,45,unitedstates,<=50K
41,federalgov,bachelors,marriedcivspouse,techsupport,husband,white,Male,24,unitedstates,<=50K
36,private,somecollege,divorced,craftrepair,notinfamily,white,Male,40,unitedstates,<=50K
40,federalgov,masters,nevermarried,execmanagerial,notinfamily,white,Female,55,unitedstates,>50K
35,private,masters,marriedcivspouse,profspecialty,otherrelative,white,Male,40,unitedstates,>50K
24,selfempnotinc,hsgrad,nevermarried,sales,notinfamily,white,Male,40,unitedstates,<=50K
26,private,masters,nevermarried,profspecialty,notinfamily,white,Female,40,unitedstates,<=50K
51,private,bachelors,marriedcivspouse,execmanagerial,husband,white,Male,50,unitedstates,>50K
42,localgov,somecollege,nevermarried,profspecialty,notinfamily,white,Female,40,unitedstates,<=50K
18,private,11th,nevermarried,sales,ownchild,white,Female,40,unitedstates,<=50K
36,private,bachelors,marriedcivspouse,otherservice,husband,black,Male,36,unitedstates,>50K
35,private,hsgrad,divorced,craftrepair,notinfamily,white,Male,60,unitedstates,<=50K
17,private,11th,nevermarried,sales,ownchild,white,Female,12,unitedstates,<=50K
44,localgov,hsgrad,marriedcivspouse,transportmoving,husband,black,Male,40,unitedstates,<=50K
37,private,hsgrad,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,>50K
38,private,somecollege,nevermarried,sales,notinfamily,amerindianeskimo,Female,40,unitedstates,<=50K
60,private,hsgrad,marriedcivspouse,craftrepair,husband,asianpacislander,Male,40,unitedstates,<=50K
38,selfempinc,7th8th,marriedcivspouse,machineopinspct,husband,white,Male,40,unitedstates,>50K
37,private,bachelors,nevermarried,execmanagerial,notinfamily,black,Male,60,unitedstates,>50K
38,private,assocacdm,divorced,sales,notinfamily,white,Female,40,unitedstates,<=50K
38,private,bachelors,marriedcivspouse,sales,husband,white,Male,50,poland,<=50K
45,private,bachelors,marriedcivspouse,profspecialty,husband,white,Male,55,unitedstates,<=50K
38,private,somecollege,marriedcivspouse,handlerscleaners,husband,white,Male,40,unitedstates,<=50K
90,private,hsgrad,nevermarried,otherservice,notinfamily,black,Male,40,unitedstates,<=50K
54,private,hsgrad,marriedcivspouse,admclerical,husband,black,Male,20,unitedstates,<=50K
18,private,hsgrad,nevermarried,sales,ownchild,white,Female,40,unitedstates,<=50K
75,private,assocvoc,widowed,admclerical,notinfamily,white,Female,20,columbia,<=50K
38,private,hsgrad,divorced,admclerical,notinfamily,white,Female,40,unitedstates,<=50K
35,private,11th,separated,transportmoving,notinfamily,black,Male,40,unitedstates,<=50K
41,private,hsgrad,divorced,sales,unmarried,black,Female,38,unitedstates,<=50K
25,private,somecollege,nevermarried,admclerical,notinfamily,white,Male,42,unitedstates,<=50K
38,stategov,hsgrad,marriedcivspouse,otherservice,husband,white,Male,40,unitedstates,<=50K
40,stategov,somecollege,nevermarried,admclerical,notinfamily,white,Female,38,unitedstates,<=50K
41,private,bachelors,marriedcivspouse,execmanagerial,husband,white,Male,50,iran,>50K
38,localgov,masters,marriedcivspouse,execmanagerial,husband,white,Male,70,unitedstates,>50K
23,private,hsgrad,nevermarried,transportmoving,ownchild,white,Male,40,unitedstates,<=50K
38,private,somecollege,divorced,craftrepair,notinfamily,white,Male,40,unitedstates,<=50K
58,private,hsgrad,marriedcivspouse,admclerical,husband,white,Male,45,unitedstates,>50K
32,private,hsgrad,nevermarried,otherservice,notinfamily,white,Female,34,unitedstates,<=50K
40,private,assocacdm,marriedcivspouse,techsupport,husband,white,Male,60,unitedstates,>50K
58,private,somecollege,nevermarried,transportmoving,notinfamily,white,Male,20,unitedstates,<=50K
42,selfempnotinc,hsgrad,marriedcivspouse,farmingfishing,husband,asianpacislander,Male,40,cambodia,>50K
20,private,hsgrad,nevermarried,otherservice,ownchild,white,Female,40,unitedstates,<=50K
50,private,7th8th,divorced,craftrepair,notinfamily,white,Male,40,unitedstates,<=50K
36,private,bachelors,divorced,profspecialty,ownchild,white,Female,40,unitedstates,<=50K
45,private,hsgrad,marriedcivspouse,sales,husband,white,Male,60,unitedstates,<=50K
17,private,11th,nevermarried,otherservice,ownchild,white,Male,12,unitedstates,<=50K
59,private,somecollege,marriedcivspouse,sales,husband,white,Male,40,unitedstates,<=50K
26,private,11th,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,<=50K
33,private,hsgrad,marriedcivspouse,craftrepair,wife,white,Female,40,unitedstates,>50K
61,private,hsgrad,marriedcivspouse,execmanagerial,husband,white,Male,40,unitedstates,>50K
17,private,9th,nevermarried,otherservice,ownchild,white,Male,24,unitedstates,<=50K
50,selfempnotinc,masters,marriedcivspouse,farmingfishing,husband,white,Male,98,unitedstates,<=50K
27,localgov,masters,nevermarried,profspecialty,ownchild,white,Male,35,unitedstates,<=50K
30,private,hsgrad,divorced,profspecialty,ownchild,white,Female,40,unitedstates,<=50K
44,private,somecollege,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,>50K
35,private,somecollege,nevermarried,execmanagerial,notinfamily,white,Female,40,unitedstates,<=50K
25,private,somecollege,nevermarried,techsupport,ownchild,white,Female,40,unitedstates,<=50K
24,private,somecollege,marriedcivspouse,machineopinspct,wife,white,Female,48,unitedstates,>50K
42,localgov,somecollege,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,>50K
34,private,assocacdm,divorced,sales,unmarried,black,Female,45,unitedstates,<=50K
21,private,hsgrad,nevermarried,handlerscleaners,ownchild,white,Male,40,unitedstates,<=50K
41,private,profschool,marriedcivspouse,profspecialty,husband,white,Male,60,unitedstates,>50K
50,private,somecollege,divorced,otherservice,notinfamily,white,Male,45,unitedstates,<=50K
38,private,bachelors,nevermarried,execmanagerial,notinfamily,white,Female,40,unitedstates,<=50K
50,private,7th8th,marriedcivspouse,craftrepair,husband,white,Male,40,ecuador,<=50K
36,private,bachelors,marriedcivspouse,profspecialty,husband,white,Male,45,unitedstates,<=50K
31,private,hsgrad,divorced,profspecialty,notinfamily,white,Female,40,unitedstates,<=50K
38,private,somecollege,nevermarried,sales,ownchild,white,Male,45,unitedstates,<=50K
27,private,bachelors,nevermarried,techsupport,unmarried,black,Female,40,unitedstates,<=50K
24,private,hsgrad,nevermarried,craftrepair,ownchild,white,Male,40,unitedstates,<=50K
38,private,hsgrad,divorced,sales,notinfamily,white,Male,80,unitedstates,<=50K
48,private,bachelors,marriedcivspouse,admclerical,husband,white,Male,40,unitedstates,>50K
21,private,somecollege,nevermarried,otherservice,notinfamily,asianpacislander,Female,25,unitedstates,<=50K
31,private,hsgrad,marriedcivspouse,transportmoving,husband,white,Male,45,unitedstates,>50K
24,private,somecollege,marriedcivspouse,admclerical,wife,asianpacislander,Female,40,laos,<=50K
43,private,hsgrad,divorced,admclerical,notinfamily,white,Female,40,unitedstates,<=50K
46,private,assocacdm,nevermarried,profspecialty,notinfamily,white,Female,33,unitedstates,<=50K
41,selfempinc,somecollege,marriedcivspouse,farmingfishing,husband,white,Male,54,unitedstates,>50K
26,private,bachelors,nevermarried,sales,notinfamily,white,Male,40,unitedstates,<=50K
22,private,somecollege,nevermarried,sales,ownchild,white,Male,15,unitedstates,<=50K
24,private,somecollege,nevermarried,machineopinspct,notinfamily,white,Male,40,unitedstates,<=50K
77,selfempnotinc,somecollege,marriedcivspouse,sales,husband,white,Male,40,unitedstates,<=50K
22,private,5th6th,marriedcivspouse,machineopinspct,otherrelative,white,Female,40,mexico,<=50K
29,private,somecollege,nevermarried,techsupport,notinfamily,white,Female,40,unitedstates,<=50K
62,private,hsgrad,widowed,otherservice,notinfamily,white,Female,24,unitedstates,<=50K
39,selfempnotinc,hsgrad,marriedcivspouse,execmanagerial,husband,white,Male,40,unitedstates,<=50K
43,private,somecollege,marriedcivspouse,craftrepair,husband,white,Male,50,unitedstates,<=50K
35,private,hsgrad,divorced,transportmoving,notinfamily,white,Male,45,unitedstates,<=50K
29,private,11th,nevermarried,execmanagerial,notinfamily,white,Female,40,unitedstates,<=50K
76,selfempnotinc,masters,marriedcivspouse,craftrepair,husband,white,Male,10,unitedstates,<=50K
63,selfempnotinc,hsgrad,marriedcivspouse,farmingfishing,husband,white,Male,45,unitedstates,<=50K
43,private,somecollege,marriedcivspouse,profspecialty,wife,white,Female,50,unitedstates,>50K
58,selfempnotinc,hsgrad,marriedcivspouse,handlerscleaners,husband,white,Male,40,unitedstates,<=50K
38,private,hsgrad,nevermarried,transportmoving,notinfamily,white,Male,55,unitedstates,<=50K
41,private,somecollege,nevermarried,craftrepair,notinfamily,black,Male,45,unitedstates,<=50K
26,private,bachelors,nevermarried,admclerical,notinfamily,white,Male,40,unitedstates,<=50K
47,private,assocvoc,nevermarried,otherservice,notinfamily,white,Male,40,unitedstates,<=50K
38,localgov,10th,marriedcivspouse,admclerical,husband,white,Male,40,unitedstates,<=50K
53,private,hsgrad,marriedcivspouse,transportmoving,husband,white,Male,40,unitedstates,<=50K
17,private,5th6th,nevermarried,otherservice,otherrelative,white,Male,48,mexico,<=50K
30,private,hsgrad,nevermarried,craftrepair,otherrelative,white,Male,40,unitedstates,<=50K
49,private,masters,nevermarried,profspecialty,notinfamily,white,Male,60,unitedstates,<=50K
45,private,hsgrad,marriedcivspouse,otherservice,husband,black,Male,40,unitedstates,<=50K
26,private,assocacdm,nevermarried,sales,notinfamily,white,Male,40,unitedstates,<=50K
38,private,assocvoc,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,>50K
38,private,hsgrad,nevermarried,farmingfishing,notinfamily,white,Male,20,unitedstates,<=50K
22,stategov,somecollege,nevermarried,protectiveserv,ownchild,black,Female,40,unitedstates,<=50K
43,selfempnotinc,bachelors,nevermarried,sales,notinfamily,white,Male,42,unitedstates,<=50K
56,private,assocacdm,marriedspouseabsent,otherservice,notinfamily,white,Male,25,iran,<=50K
31,private,bachelors,nevermarried,profspecialty,ownchild,white,Male,25,unitedstates,<=50K
33,private,bachelors,marriedcivspouse,execmanagerial,husband,white,Male,40,unitedstates,>50K
26,private,hsgrad,marriedcivspouse,otherservice,husband,white,Male,40,unitedstates,<=50K
33,private,bachelors,marriedcivspouse,execmanagerial,husband,white,Male,40,unitedstates,>50K
46,localgov,11th,marriedcivspouse,transportmoving,husband,white,Male,30,unitedstates,<=50K
65,private,11th,widowed,otherservice,unmarried,other,Male,40,unitedstates,<=50K
40,private,assocvoc,marriedcivspouse,techsupport,husband,white,Male,40,unitedstates,>50K
42,private,hsgrad,marriedcivspouse,admclerical,wife,white,Female,35,unitedstates,<=50K
26,selfempnotinc,9th,marriedcivspouse,craftrepair,husband,white,Male,40,portugal,<=50K
36,private,10th,marriedcivspouse,otherservice,wife,white,Female,24,unitedstates,<=50K
43,private,bachelors,marriedcivspouse,transportmoving,husband,white,Male,45,unitedstates,<=50K
43,private,bachelors,divorced,execmanagerial,notinfamily,white,Male,45,unitedstates,>50K
22,private,hsgrad,marriedspouseabsent,sales,notinfamily,white,Male,55,unitedstates,<=50K
28,private,hsgrad,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,<=50K
22,private,assocacdm,nevermarried,sales,notinfamily,white,Female,15,unitedstates,<=50K
57,private,bachelors,divorced,execmanagerial,notinfamily,white,Female,45,unitedstates,>50K
39,private,hsgrad,divorced,sales,unmarried,white,Female,40,unitedstates,<=50K
26,federalgov,somecollege,nevermarried,admclerical,unmarried,white,Female,15,unitedstates,<=50K
40,stategov,assocvoc,marriedcivspouse,machineopinspct,husband,white,Male,38,unitedstates,>50K
45,private,hsgrad,marriedcivspouse,machineopinspct,husband,black,Male,40,unitedstates,<=50K
44,private,hsgrad,nevermarried,craftrepair,notinfamily,black,Male,40,unitedstates,<=50K
20,localgov,somecollege,nevermarried,admclerical,ownchild,white,Female,10,unitedstates,<=50K
33,private,hsgrad,marriedcivspouse,craftrepair,wife,white,Female,40,unitedstates,<=50K
23,private,somecollege,nevermarried,sales,notinfamily,white,Male,40,unitedstates,<=50K
38,private,hsgrad,marriedcivspouse,sales,husband,white,Male,50,unitedstates,<=50K
54,private,hsgrad,divorced,transportmoving,notinfamily,white,Male,40,unitedstates,<=50K
38,private,5th6th,divorced,craftrepair,notinfamily,white,Female,45,unitedstates,<=50K
25,private,somecollege,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,<=50K
46,private,somecollege,divorced,sales,notinfamily,white,Female,40,unitedstates,<=50K
36,localgov,somecollege,marriedcivspouse,transportmoving,wife,white,Female,40,unitedstates,<=50K
38,private,hsgrad,nevermarried,otherservice,notinfamily,white,Female,25,unitedstates,<=50K
38,private,hsgrad,separated,machineopinspct,notinfamily,white,Male,40,unitedstates,<=50K
44,private,somecollege,marriedcivspouse,admclerical,wife,white,Female,6,unitedstates,>50K
19,private,somecollege,nevermarried,admclerical,ownchild,white,Female,16,unitedstates,<=50K
19,private,hsgrad,nevermarried,otherservice,otherrelative,white,Female,40,unitedstates,<=50K
35,private,hsgrad,marriedcivspouse,otherservice,wife,white,Female,40,unitedstates,>50K
27,private,bachelors,nevermarried,craftrepair,notinfamily,white,Male,50,unitedstates,<=50K
46,selfempnotinc,assocacdm,separated,craftrepair,notinfamily,white,Male,40,unitedstates,<=50K
34,private,hsgrad,nevermarried,otherservice,notinfamily,white,Female,35,unitedstates,<=50K
38,private,somecollege,marriedcivspouse,techsupport,husband,white,Male,40,unitedstates,<=50K
38,private,somecollege,divorced,handlerscleaners,unmarried,white,Female,40,unitedstates,<=50K
38,private,bachelors,marriedcivspouse,execmanagerial,husband,white,Male,55,unitedstates,>50K
28,private,somecollege,nevermarried,otherservice,notinfamily,white,Female,40,unitedstates,<=50K
38,stategov,bachelors,marriedcivspouse,protectiveserv,husband,white,Male,40,unitedstates,>50K
34,private,assocvoc,divorced,techsupport,notinfamily,white,Female,64,unitedstates,<=50K
28,private,7th8th,marriedcivspouse,handlerscleaners,husband,other,Male,40,puertorico,<=50K
41,private,masters,marriedcivspouse,execmanagerial,husband,white,Male,65,unitedstates,>50K
28,private,hsgrad,marriedcivspouse,admclerical,husband,white,Male,40,unitedstates,<=50K
46,selfempnotinc,hsgrad,marriedcivspouse,craftrepair,husband,white,Male,25,unitedstates,<=50K
32,private,somecollege,marriedcivspouse,execmanagerial,husband,white,Male,50,unitedstates,<=50K
41,localgov,somecollege,divorced,otherservice,notinfamily,black,Female,24,unitedstates,<=50K
24,private,hsgrad,nevermarried,handlerscleaners,unmarried,black,Female,40,unitedstates,<=50K
